Library,Url,CDNJS,Github Star,# Versions,PTV # True Sep,PTV Fineness,LDC # True Sep,LDC # False Sep,LDC Fineness
AmplifyJS,http://amplifyjs.com/,https://cdnjs.com/libraries/amplifyjs,1457,3,1,0.33,1,0,0.33
FlexSlider,https://woocommerce.com/flexslider/,https://cdnjs.com/libraries/flexslider,4928,15,1,0.07,1,0,0.07
SPF,https://youtube.github.io/spfjs/,https://cdnjs.com/libraries/spf,2194,11,2,0.18,1,0,0.09
WebFont Loader,https://github.com/typekit/webfontloader,https://cdnjs.com/libraries/webfont,9139,49,7,0.14,1,0,0.02
IfVisible.js,http://serkanyersen.github.io/ifvisible.js/,https://cdnjs.com/libraries/ifvisible,1947,6,2,0.33,1,0,0.17
Material Design Lite,https://getmdl.io/,https://cdnjs.com/libraries/material-design-lite,32215,18,4,0.22,1,0,0.06
FastClick,https://github.com/ftlabs/fastclick,https://cdnjs.com/libraries/fastclick,18721,33,7,0.21,1,0,0.03
Isotope,https://isotope.metafizzy.co/,https://cdnjs.com/libraries/jquery.isotope,10906,14,4,0.29,1,0,0.07
yepnope,http://yepnopejs.com/,https://cdnjs.com/libraries/yepnope,2522,11,4,0.36,1,0,0.09
Tween.js,https://github.com/tweenjs/tween.js,https://cdnjs.com/libraries/tween.js,9444,57,17,0.30,1,0,0.02
Bootstrap,http://getbootstrap.com/,https://cdnjs.com/libraries/bootstrap,165563,27,12,0.44,5,1,0.15
LABjs,https://github.com/getify/LABjs,https://cdnjs.com/libraries/labjs,2278,3,2,0.67,1,0,0.33
Closure Library,https://developers.google.com/closure/library/,https://cdnjs.com/libraries/google-closure-library,4777,15,6,0.40,1,0,0.07
Sugar,https://sugarjs.com,https://cdnjs.com/libraries/sugar,4514,38,16,0.42,3,0,0.08
Zepto.js,http://zeptojs.com,https://cdnjs.com/libraries/zepto,14996,19,8,0.42,1,0,0.05
Head JS,http://headjs.com/,https://cdnjs.com/libraries/headjs,4170,9,6,0.67,1,0,0.11
Visibility.js,https://github.com/ai/visibilityjs,https://cdnjs.com/libraries/visibility.js,1815,11,11,1.00,1,0,0.09
