,Version,Success,Description
0,2.0.0,Y,
1,2.0.0-alpha,Y,
2,2.0.0-beta,Y,
3,2.1.0,Y,
4,2.1.0-beta,Y,
5,2.1.0-beta2,Y,
6,2.2.0,Y,
7,2.2.0-beta,Y,
8,2.2.1,Y,
9,2.3.0,Y,
10,2.3.0-beta,Y,
11,2.3.1,Y,
12,3.0.0,Y,
13,3.0.0-alpha1,Y,
14,3.0.0-beta1,Y,
15,3.0.0-rc1,Y,
16,3.0.1,Y,
17,3.0.2,Y,
18,3.0.3,Y,
