,Version,Success,Description
0,2.11.2,Y,
1,3.0.0-alpha.1,Y,
2,3.0.0-alpha.2,Y,
3,3.0.0-alpha.3,Y,
4,3.0.0-alpha.4,Y,
5,3.0.0-alpha.5,Y,
6,3.0.0-alpha.6,Y,
7,3.0.0-alpha.7,Y,
8,3.1.0,N,Library loading error.
9,4.0.0-alpha.0,N,Library loading error.
