,Version,Success,Description
0,0.1.16,Y,
1,0.1.18,Y,
2,0.1.20,Y,
3,0.1.22,Y,
4,0.1.24,Y,
5,0.1.26,Y,
6,0.1.29,Y,
7,0.1.30,Y,
8,0.1.31,Y,
9,0.1.34,Y,
10,0.1.35,Y,
11,0.1.37,Y,
12,0.1.39,Y,
13,0.1.43,Y,
14,0.1.44,Y,
15,0.1.45,Y,
16,0.2.0,Y,
17,0.2.1,Y,
18,0.2.2,Y,
19,0.2.3,Y,
20,0.2.6,Y,
21,0.2.7,Y,
22,0.3.0-rc.1,Y,
23,0.3.0-rc.2,Y,
