Library,Url,CDNJS,GitHub Star,# Versions,# Sep by PT,# Sep by LDC,Fineness,# Fineness
React,https://reactjs.org/,https://cdnjs.com/libraries/react,214120.0,,,,,
Vue,https://vuejs.org/,https://cdnjs.com/libraries/vue,205507.0,,,,,
Bootstrap,http://getbootstrap.com/,https://cdnjs.com/libraries/bootstrap,165563.0,27.0,10.0,,,0.37
D3,https://d3js.org/,https://cdnjs.com/libraries/d3,106418.0,261.0,235.0,,,0.9
three.js,https://threejs.org/,https://cdnjs.com/libraries/three.js,94993.0,248.0,136.0,,,0.55
Socket.IO,https://socket.io/,https://cdnjs.com/libraries/socket.io,59115.0,126.0,42.0,,,0.33
jQuery,http://jquery.com,https://cdnjs.com/libraries/jquery,57871.0,82.0,82.0,,,1.0
Lo-Dash,https://lodash.com/,https://cdnjs.com/libraries/lodash.js,57667.0,112.0,109.0,,,0.97
Moment.js,http://momentjs.com/,https://cdnjs.com/libraries/moment.js,47549.0,76.0,76.0,,,1.0
Pixi.js,http://www.pixijs.com/,https://cdnjs.com/libraries/pixi.js,41100.0,90.0,80.0,,,0.89
Leaflet,http://leafletjs.com,https://cdnjs.com/libraries/leaflet,38621.0,51.0,47.0,,,0.92
Preact,https://preactjs.com/,https://cdnjs.com/libraries/preact,35110.0,128.0,12.0,,,0.09
Material Design Lite,https://getmdl.io/,https://cdnjs.com/libraries/material-design-lite,32215.0,18.0,2.0,,,0.11
Backbone,http://backbonejs.org/,https://cdnjs.com/libraries/backbone.js,28026.0,33.0,29.0,,,0.88
Fabric.js,http://fabricjs.com/,https://cdnjs.com/libraries/fabric.js,25961.0,131.0,109.0,,,0.83
Modernizr,https://modernizr.com/,https://cdnjs.com/libraries/modernizr,25560.0,21.0,21.0,,,1.0
Hammer.js,http://eightmedia.github.io/hammer.js/,https://cdnjs.com/libraries/hammer.js,23705.0,26.0,19.0,,,0.73
core-js,https://github.com/zloirock/core-js,https://cdnjs.com/libraries/core-js,23071.0,206.0,70.0,,,0.34
Polymer,https://www.polymer-project.org/,https://cdnjs.com/libraries/polymer,21966.0,,,,,
FastClick,https://github.com/ftlabs/fastclick,https://cdnjs.com/libraries/fastclick,18721.0,33.0,6.0,,,0.18
Handsontable,https://handsontable.com/,https://cdnjs.com/libraries/handsontable,18337.0,183.0,141.0,,,0.77
Handlebars,http://handlebarsjs.com/,https://cdnjs.com/libraries/handlebars.js,17429.0,78.0,66.0,,,0.85
Velocity.js,http://velocityjs.org/,https://cdnjs.com/libraries/velocity,17241.0,67.0,29.0,,,0.43
FuseJS,http://fusejs.io/,https://cdnjs.com/libraries/fuse.js,16622.0,76.0,46.0,,,0.61
